user_id,signup_month,activity_month,active
1,2024-04,2024-01,0
1,2024-04,2024-02,0
1,2024-04,2024-03,0
1,2024-04,2024-04,1
1,2024-04,2024-05,1
1,2024-04,2024-06,0
2,2024-01,2024-01,1
2,2024-01,2024-02,0
2,2024-01,2024-03,0
2,2024-01,2024-04,0
2,2024-01,2024-05,0
2,2024-01,2024-06,0
3,2024-05,2024-01,0
3,2024-05,2024-02,0
3,2024-05,2024-03,0
3,2024-05,2024-04,0
3,2024-05,2024-05,1
3,2024-05,2024-06,0
4,2024-03,2024-01,0
4,2024-03,2024-02,0
4,2024-03,2024-03,1
4,2024-03,2024-04,1
4,2024-03,2024-05,0
4,2024-03,2024-06,1
5,2024-04,2024-01,0
5,2024-04,2024-02,0
5,2024-04,2024-03,0
5,2024-04,2024-04,0
5,2024-04,2024-05,0
5,2024-04,2024-06,0
6,2024-02,2024-01,0
6,2024-02,2024-02,1
6,2024-02,2024-03,1
6,2024-02,2024-04,0
6,2024-02,2024-05,1
6,2024-02,2024-06,1
7,2024-05,2024-01,0
7,2024-05,2024-02,0
7,2024-05,2024-03,0
7,2024-05,2024-04,0
7,2024-05,2024-05,0
7,2024-05,2024-06,0
8,2024-06,2024-01,0
8,2024-06,2024-02,0
8,2024-06,2024-03,0
8,2024-06,2024-04,0
8,2024-06,2024-05,0
8,2024-06,2024-06,1
9,2024-01,2024-01,0
9,2024-01,2024-02,0
9,2024-01,2024-03,0
9,2024-01,2024-04,0
9,2024-01,2024-05,0
9,2024-01,2024-06,0
10,2024-06,2024-01,0
10,2024-06,2024-02,0
10,2024-06,2024-03,0
10,2024-06,2024-04,0
10,2024-06,2024-05,0
10,2024-06,2024-06,0
11,2024-05,2024-01,0
11,2024-05,2024-02,0
11,2024-05,2024-03,0
11,2024-05,2024-04,0
11,2024-05,2024-05,0
11,2024-05,2024-06,0
12,2024-03,2024-01,0
12,2024-03,2024-02,0
12,2024-03,2024-03,1
12,2024-03,2024-04,1
12,2024-03,2024-05,0
12,2024-03,2024-06,1
13,2024-02,2024-01,0
13,2024-02,2024-02,0
13,2024-02,2024-03,0
13,2024-02,2024-04,0
13,2024-02,2024-05,1
13,2024-02,2024-06,1
14,2024-06,2024-01,0
14,2024-06,2024-02,0
14,2024-06,2024-03,0
14,2024-06,2024-04,0
14,2024-06,2024-05,0
14,2024-06,2024-06,0
15,2024-04,2024-01,0
15,2024-04,2024-02,0
15,2024-04,2024-03,0
15,2024-04,2024-04,0
15,2024-04,2024-05,0
15,2024-04,2024-06,1
16,2024-04,2024-01,0
16,2024-04,2024-02,0
16,2024-04,2024-03,0
16,2024-04,2024-04,0
16,2024-04,2024-05,0
16,2024-04,2024-06,1
17,2024-06,2024-01,0
17,2024-06,2024-02,0
17,2024-06,2024-03,0
17,2024-06,2024-04,0
17,2024-06,2024-05,0
17,2024-06,2024-06,1
18,2024-04,2024-01,0
18,2024-04,2024-02,0
18,2024-04,2024-03,0
18,2024-04,2024-04,1
18,2024-04,2024-05,0
18,2024-04,2024-06,0
19,2024-05,2024-01,0
19,2024-05,2024-02,0
19,2024-05,2024-03,0
19,2024-05,2024-04,0
19,2024-05,2024-05,0
19,2024-05,2024-06,0
20,2024-05,2024-01,0
20,2024-05,2024-02,0
20,2024-05,2024-03,0
20,2024-05,2024-04,0
20,2024-05,2024-05,0
20,2024-05,2024-06,0
21,2024-04,2024-01,0
21,2024-04,2024-02,0
21,2024-04,2024-03,0
21,2024-04,2024-04,0
21,2024-04,2024-05,1
21,2024-04,2024-06,0
22,2024-02,2024-01,0
22,2024-02,2024-02,1
22,2024-02,2024-03,1
22,2024-02,2024-04,0
22,2024-02,2024-05,1
22,2024-02,2024-06,0
23,2024-06,2024-01,0
23,2024-06,2024-02,0
23,2024-06,2024-03,0
23,2024-06,2024-04,0
23,2024-06,2024-05,0
23,2024-06,2024-06,0
24,2024-06,2024-01,0
24,2024-06,2024-02,0
24,2024-06,2024-03,0
24,2024-06,2024-04,0
24,2024-06,2024-05,0
24,2024-06,2024-06,0
25,2024-06,2024-01,0
25,2024-06,2024-02,0
25,2024-06,2024-03,0
25,2024-06,2024-04,0
25,2024-06,2024-05,0
25,2024-06,2024-06,1
26,2024-05,2024-01,0
26,2024-05,2024-02,0
26,2024-05,2024-03,0
26,2024-05,2024-04,0
26,2024-05,2024-05,0
26,2024-05,2024-06,1
27,2024-01,2024-01,1
27,2024-01,2024-02,0
27,2024-01,2024-03,1
27,2024-01,2024-04,1
27,2024-01,2024-05,0
27,2024-01,2024-06,1
28,2024-03,2024-01,0
28,2024-03,2024-02,0
28,2024-03,2024-03,0
28,2024-03,2024-04,0
28,2024-03,2024-05,1
28,2024-03,2024-06,0
29,2024-05,2024-01,0
29,2024-05,2024-02,0
